Description,SalesDollars,cum_pct,ABC_Category
Estancia Cab Svgn Paso Roble,14356.05,61.49237664159968,A
Ciroc Coconut Vodka,14338.58,61.53564414400285,A
Cupcake Cab Svgn,14332.33,61.578892786666074,A
M & R X Dry Vermouth,14297.960000000001,61.62203771584739,A
Mirassou Pnt Nr Cntrl Coast,14276.12,61.66511674155344,A
Seghesio Znfdl Sonoma,14274.859999999999,61.7081919651359,A
R M Woodbridge Chard,14272.45,61.751259916402645,A
Pizzolato Pnt Grigio,14252.61,61.79426799931089,A
MacMurray Ranch C Cst Pnt Nr,14244.17,61.83725061402632,A
Benziger Chard,14121.93,61.87986436240396,A
Benchmark Old #8 Bourbon,14120.58,61.922474037077755,A
Trapiche Malbec Mendoza Oak,14094.54,61.96500513453104,A
Kinky Liqueur,14049.199999999999,62.007399415886844,A
Glen Ellen Merlot RSV,14028.93,62.04973253133406,A
Clos Pegase Merlot Napa,13978.23,62.09191265657081,A
La Crema Pnt Nr Sonoma Cst,13888.0,62.13382050751388,A
Monkey Bay Svgn Bl,13851.64,62.175618640033846,A
Napa Highlands Meritage,13846.14,62.217400175982654,A
Clean Slate Rsl Mosel,13752.11,62.25889797091588,A
Matua Svgn Bl Marlboro,13750.57,62.300391118809195,A
Rodney Strong Pnt Nr,13748.779999999999,62.341878865272996,A
Ferrari-Carano Chard,13709.789999999999,62.383248957135095,A
Crown Royal Maple Whisky,13698.17,62.4245839849687,A
Kinky Blue Liqueur,13601.91,62.4656285426315,A
Knob Creek Single Barrel Rsv,13538.07,62.5064804593666,A
Patron XO Cafe Liqueur,13479.279999999999,62.547154973843845,A
Ruffino Chianti Clsc RSV Tan,13449.259999999998,62.58773890121818,A
14 Hands Hot to Trot Red,13372.710000000001,62.62809183449763,A
Cesari Valpolicella Clsc Am,13345.55,62.66836281089117,A
Black Velvet Traveler,13300.76,62.708498630844346,A
Bota Box Pnt Grigio Cal,13245.619999999999,62.74846806262781,A
Patron Citronge Orange Liqu,13237.089999999998,62.788411754638176,A
Cavit Pinot Noir Delle Vene,13203.41,62.82825381528192,A
Barefoot Cellars Pink Moscat,13200.11,62.868085917982974,A
Layer Cake Malbec Mendoza,13171.7,62.90783229185012,A
Sambuca Romana Black,13153.419999999998,62.94752350474987,A
The Glenlivet Founders Res,13132.1,62.987150383304716,A
Lincourt Lindsays Pnt Nr,13131.24,63.02677466675932,A
F Coppola Diamond Pnt Nr,13113.359999999999,63.0663449962699,A
Booker's Bourbon,13111.060000000001,63.10590838539617,A
Goldschlager Cinnamon Schna,13022.56,63.14520472060479,A
La Bastarda Pnt Gr Sicily,13012.59,63.18447097075624,A
C Y Toro Front Cab/Merlot,13003.18,63.223708825683225,A
Jose Cuervo Golden Margarita,13000.91,63.262939830752664,A
Jenkins Gin,12993.95,63.302149833615694,A
